query,ground_truth,top_ids,top_scores,correct_in_top_k,rank_of_correct,ground_truth_score
What is the main premise and scope of the Mahabharata as described in its introduction?,1.1,"['1.59', '1.62', '1.61']","[0.5428463220596313, 0.5362686514854431, 0.4936036765575409]",False,,0.47586166858673096
Which topics are briefly listed or summarized at the start of the Mahabharata?,1.1,"['1.59', '6.15', '1.61']","[0.5005851984024048, 0.4749210476875305, 0.46332618594169617]",False,,0.43774521350860596
What glories or benefits are said to come from reading or listening to the Mahabharata?,1.1,"['18.5', '8.96', '1.62']","[0.6013155579566956, 0.5991606712341309, 0.5940335988998413]",False,,0.5090363621711731
What is the significance of the Samantpanchak region in the Mahabharata?,1.2,"['9.53', '8.47', '3.87']","[0.5492348670959473, 0.4511876702308655, 0.45024165511131287]",False,,0.4116133153438568
How is the Akshauhini army described or enumerated in the Mahabharata?,1.2,"['6.18', '5.19', '6.16']","[0.6068496704101562, 0.6060456037521362, 0.5949914455413818]",False,,0.4779045283794403
Which festivals are mentioned in the Mahabharata and what are their meanings or outcomes?,1.2,"['14.59', '1.143', '3.155']","[0.4976756274700165, 0.49524787068367004, 0.494284451007843]",False,,0.4241684377193451
What are the stated benefits of reading or hearing the Mahabharata in this section?,1.2,"['8.96', '18.5', '1.62']","[0.6289710998535156, 0.6148772239685059, 0.6053426265716553]",False,,0.5172843933105469
Why did Sage Saramaka curse King Janamejaya?,1.3,"['1.41', '1.3', '1.51']","[0.6177184581756592, 0.6144262552261353, 0.6081149578094482]",True,2.0,0.6144263744354248
How did Janamejaya choose Somashrava as his priest for the serpent sacrifice?,1.3,"['1.53', '1.51', '3.127']","[0.5744948983192444, 0.5674269795417786, 0.5506646633148193]",False,,0.5492312908172607
"What is the story of Aruni, Upamanyu, and their devotion to their Guru Uttanka?",1.3,"['3.201', '14.56', '4.36']","[0.5256294012069702, 0.5076804161071777, 0.5056983232498169]",False,,0.4889841377735138
How did Uttanka inspire Janamejaya to perform the Sarpayajna (snake sacrifice)?,1.3,"['1.3', '1.53', '1.51']","[0.7164080142974854, 0.6441618204116821, 0.6318194270133972]",True,1.0,0.7164081335067749
What happened when the demon Puloma arrived at Sage Bhrigu’s ashram?,1.5,"['1.5', '1.6', '1.7']","[0.5793498754501343, 0.5760675668716431, 0.5344594120979309]",True,1.0,0.5793498158454895
What conversation took place between Puloma and the fire god Agni?,1.5,"['1.6', '1.7', '3.217']","[0.6084316968917847, 0.5992833971977234, 0.5838930010795593]",False,,0.45445263385772705
How was Maharshi Chyavana born?,1.6,"['3.122', '3.123', '3.124']","[0.6339595317840576, 0.5815268158912659, 0.5805902481079102]",False,,0.572157621383667
How did Chyavana destroy the demon Puloma?,1.6,"['3.124', '1.6', '3.122']","[0.5802472829818726, 0.5719881057739258, 0.5345655679702759]",True,2.0,0.5719881057739258
"Why did Bhrigu curse the fire god Agni, and what was the outcome?",1.6,"['1.7', '1.6', '3.217']","[0.7575432658195496, 0.6711879968643188, 0.5948859453201294]",True,2.0,0.6711881160736084
Why did Agni disappear from the world after being cursed by Bhrigu?,1.7,"['1.7', '1.6', '3.217']","[0.7010390758514404, 0.6421063542366028, 0.5640994310379028]",True,1.0,0.7010388970375061
