query,ground_truth,top_ids,correct,rank_of_correct
What is the main premise and scope of the Mahabharata as described in its introduction?,1.1,"['1.62', '1.59', '18.6']",False,
Which topics are briefly listed or summarized at the start of the Mahabharata?,1.1,"['1.59', '18.6', '1.62']",False,
What glories or benefits are said to come from reading or listening to the Mahabharata?,1.1,"['1.59', '1.62', '18.6']",False,
What is the significance of the Samantpanchak region in the Mahabharata?,1.2,"['1.2', '3.163', '9.55']",True,1.0
How is the Akshauhini army described or enumerated in the Mahabharata?,1.2,"['5.151', '5.155', '5.19']",False,
Which festivals are mentioned in the Mahabharata and what are their meanings or outcomes?,1.2,"['15.14', '6.113', '1.219']",False,
What are the stated benefits of reading or hearing the Mahabharata in this section?,1.2,"['1.59', '18.6', '1.62']",False,
Why did Sage Saramaka curse King Janamejaya?,1.3,"['1.3', '12.151', '2.45']",True,1.0
How did Janamejaya choose Somashrava as his priest for the serpent sacrifice?,1.3,"['1.60', '1.13', '1.53']",False,
"What is the story of Aruni, Upamanyu, and their devotion to their Guru Uttanka?",1.3,"['5.14', '1.212', '1.208']",False,
How did Uttanka inspire Janamejaya to perform the Sarpayajna (snake sacrifice)?,1.3,"['1.60', '1.13', '1.53']",False,
What happened when the demon Puloma arrived at Sage Bhrigu’s ashram?,1.5,"['1.148', '1.5', '3.161']",True,2.0
What conversation took place between Puloma and the fire god Agni?,1.5,"['3.134', '3.222', '3.217']",False,
How was Maharshi Chyavana born?,1.6,"['1.6', '3.126', '1.8']",True,1.0
How did Chyavana destroy the demon Puloma?,1.6,"['1.6', '1.148', '4.21']",True,1.0
"Why did Bhrigu curse the fire god Agni, and what was the outcome?",1.6,"['5.16', '3.217', '3.222']",False,
Why did Agni disappear from the world after being cursed by Bhrigu?,1.7,"['3.217', '3.225', '13.85']",False,
How did Lord Brahma pacify Agni and mitigate his curse?,1.7,"['3.217', '13.85', '13.155']",False,
"Who was Pramadvara, and how was she born?",1.8,"['1.8', '3.308', '3.264']",True,1.0
What conversations took place between Pramadvara and Ruru before their marriage?,1.8,"['1.9', '13.42', '1.199']",False,
"How did Pramadvara die, and what caused her death?",1.8,"['1.9', '13.42', '7.55']",False,
How was Pramadvara revived to live half of Ruru’s lifespan?,1.9,"['1.9', '1.8', '13.42']",True,1.0
What happened after Ruru and Pramadvara’s marriage?,1.9,"['1.9', '13.42', '1.8']",True,1.0
Why did Ruru vow to kill all snakes?,1.9,"['1.10', '1.38', '1.11']",False,
What teachings did Dundubhaka share with Ruru?,1.10,"['1.10', '5.148', '1.11']",True,1.0
What is the story of Dundubha’s past as revealed in his autobiography?,1.11,"['3.1', '15.22', '1.165']",False,
What lessons of non-violence did Dundubha impart to Ruru?,1.11,"['2.73', '12.140', '5.58']",False,
How did Dundubha’s own life experiences influence his teachings to Ruru?,1.11,"['1.10', '1.11', '1.9']",True,2.0
Why was Ruru curious about Janamejaya’s snake charmer?,1.12,"['1.12', '1.10', '1.11']",True,1.0
How did Ruru’s father respond to or satisfy his curiosity?,1.12,"['1.12', '1.9', '1.8']",True,1.0
What was the significance of the snake charmer in Janamejaya’s story?,1.12,"['1.13', '1.44', '3.180']",False,
Why did Jaratkaru agree to marry at the request of his ancestors?,1.13,"['1.46', '1.14', '1.112']",False,
What was the background or reason behind Jaratkaru’s ancestors asking him to marry?,1.13,"['1.46', '1.14', '1.112']",False,
How did Jaratkaru’s marriage fulfill his ancestors’ wishes?,1.13,"['1.46', '1.14', '1.112']",False,
How did Jaratkaru come to marry Vasuki’s sister?,1.14,"['1.14', '1.46', '4.14']",True,1.0
What conditions or circumstances led to the union between Jaratkaru and Vasuki’s sister?,1.14,"['1.14', '1.47', '4.14']",True,1.0
What is the significance of Jaratkaru’s marriage to Vasuki’s sister in the Mahabharata?,1.14,"['1.14', '1.46', '4.14']",True,1.0
How did Vinata become Kadru’s slave?,1.23,"['1.23', '1.25', '2.71']",True,1.0
What is the origin story of Garuda according to the Mahabharata?,1.23,"['1.23', '1.30', '6.56']",True,1.0
