query,ground_truth,top_ids,correct_in_top_k,rank_of_correct
What is the main premise and scope of the Mahabharata as described in its introduction?,1.1,"['18.6', '12.231', '12.275']",False,
Which topics are briefly listed or summarized at the start of the Mahabharata?,1.1,"['1.62', '18.6', '1.59']",False,
What glories or benefits are said to come from reading or listening to the Mahabharata?,1.1,"['1.1', '18.6', '1.59']",True,1.0
What is the significance of the Samantpanchak region in the Mahabharata?,1.2,"['1.2', '5.111', '9.55']",True,1.0
How is the Akshauhini army described or enumerated in the Mahabharata?,1.2,"['5.19', '5.155', '6.19']",False,
Which festivals are mentioned in the Mahabharata and what are their meanings or outcomes?,1.2,"['18.6', '13.127', '13.109']",False,
What are the stated benefits of reading or hearing the Mahabharata in this section?,1.2,"['1.62', '1.1', '18.6']",False,
Why did Sage Saramaka curse King Janamejaya?,1.3,"['1.3', '14.56', '1.107']",True,1.0
How did Janamejaya choose Somashrava as his priest for the serpent sacrifice?,1.3,"['1.3', '1.60', '1.37']",True,1.0
"What is the story of Aruni, Upamanyu, and their devotion to their Guru Uttanka?",1.3,"['13.15', '9.54', '1.167']",False,
How did Uttanka inspire Janamejaya to perform the Sarpayajna (snake sacrifice)?,1.3,"['1.53', '14.56', '1.58']",False,
What happened when the demon Puloma arrived at Sage Bhrigu’s ashram?,1.5,"['1.6', '1.5', '1.148']",True,2.0
What conversation took place between Puloma and the fire god Agni?,1.5,"['3.217', '1.6', '1.234']",False,
How was Maharshi Chyavana born?,1.6,"['1.6', '1.5', '3.275']",True,1.0
How did Chyavana destroy the demon Puloma?,1.6,"['1.6', '1.5', '1.148']",True,1.0
"Why did Bhrigu curse the fire god Agni, and what was the outcome?",1.6,"['1.7', '3.217', '1.6']",True,3.0
Why did Agni disappear from the world after being cursed by Bhrigu?,1.7,"['3.217', '1.6', '1.7']",True,3.0
How did Lord Brahma pacify Agni and mitigate his curse?,1.7,"['1.7', '13.85', '3.217']",True,1.0
"Who was Pramadvara, and how was she born?",1.8,"['1.8', '1.111', '1.123']",True,1.0
What conversations took place between Pramadvara and Ruru before their marriage?,1.8,"['1.8', '1.9', '3.54']",True,1.0
