query,ground_truth,top_ids,top_scores,correct_in_top_k,rank_of_correct,ground_truth_score
What is the main premise and scope of the Mahabharata as described in its introduction?,1.1,"['1.59', '1.1', '1.62', '1.65', '9.45']","[0.49923062324523926, 0.46675100922584534, 0.4627571702003479, 0.46051687002182007, 0.45528745651245117]",True,2.0,0.4667510390281677
Which topics are briefly listed or summarized at the start of the Mahabharata?,1.1,"['12.231', '1.59', '14.44', '12.232', '12.182']","[0.48901107907295227, 0.4845408499240875, 0.48103994131088257, 0.45541781187057495, 0.4518834948539734]",False,,0.41381973028182983
What glories or benefits are said to come from reading or listening to the Mahabharata?,1.1,"['1.59', '1.1', '1.62', '18.6', '13.14']","[0.4989161491394043, 0.46585923433303833, 0.4301455616950989, 0.3987521529197693, 0.39452195167541504]",True,2.0,0.46585923433303833
What is the significance of the Samantpanchak region in the Mahabharata?,1.2,"['1.2', '5.111', '5.109', '3.163', '5.110']","[0.5214637517929077, 0.4985300898551941, 0.4629439115524292, 0.4564615786075592, 0.4367929995059967]",True,1.0,0.5214637517929077
How is the Akshauhini army described or enumerated in the Mahabharata?,1.2,"['5.152', '5.155', '5.19', '5.157', '5.164']","[0.6063547730445862, 0.5743789672851562, 0.5426042079925537, 0.5363038778305054, 0.5112214088439941]",False,,0.3158954977989197
Which festivals are mentioned in the Mahabharata and what are their meanings or outcomes?,1.2,"['13.89', '18.6', '13.87', '3.221', '13.23']","[0.497252494096756, 0.4776386618614197, 0.46877509355545044, 0.46447765827178955, 0.4599142372608185]",False,,0.36413511633872986
What are the stated benefits of reading or hearing the Mahabharata in this section?,1.2,"['1.59', '1.1', '1.62', '18.6', '5.111']","[0.47318601608276367, 0.41910311579704285, 0.3687373101711273, 0.36785411834716797, 0.3654423952102661]",False,,0.272137850522995
Why did Sage Saramaka curse King Janamejaya?,1.3,"['1.3', '1.56', '9.38', '9.43', '3.132']","[0.620427131652832, 0.5136755704879761, 0.5081846117973328, 0.4613226056098938, 0.458537220954895]",True,1.0,0.620427131652832
How did Janamejaya choose Somashrava as his priest for the serpent sacrifice?,1.3,"['1.53', '1.60', '15.35', '1.56', '12.296']","[0.6243511438369751, 0.5654743909835815, 0.5402761101722717, 0.5258862972259521, 0.5251537561416626]",False,,0.48530313372612
"What is the story of Aruni, Upamanyu, and their devotion to their Guru Uttanka?",1.3,"['1.209', '1.212', '1.18', '1.111', '1.223']","[0.46828314661979675, 0.4603922665119171, 0.4568081498146057, 0.45598387718200684, 0.45505374670028687]",False,,0.2832823097705841
How did Uttanka inspire Janamejaya to perform the Sarpayajna (snake sacrifice)?,1.3,"['1.53', '1.60', '1.51', '1.56', '1.58']","[0.5991188287734985, 0.5803533792495728, 0.5401386022567749, 0.5221572518348694, 0.5196758508682251]",False,,0.3883312940597534
What happened when the demon Puloma arrived at Sage Bhrigu’s ashram?,1.5,"['1.6', '12.182', '1.5', '12.3', '13.56']","[0.523213267326355, 0.4820888042449951, 0.4743712842464447, 0.4648529887199402, 0.45987069606781006]",True,3.0,0.4743713140487671
What conversation took place between Puloma and the fire god Agni?,1.5,"['3.217', '1.6', '1.225', '3.225', '1.7']","[0.6153314709663391, 0.589371919631958, 0.5643444061279297, 0.5473495125770569, 0.5445225238800049]",False,,0.4540058374404907
How was Maharshi Chyavana born?,1.6,"['13.161', '13.17', '3.226', '12.182', '13.14']","[0.47194311022758484, 0.47107481956481934, 0.45797786116600037, 0.45210784673690796, 0.43676120042800903]",False,,0.3750332295894623
How did Chyavana destroy the demon Puloma?,1.6,"['12.3', '1.6', '12.49', '3.124', '1.5']","[0.44563883543014526, 0.44472405314445496, 0.41212591528892517, 0.4015524983406067, 0.3967914581298828]",True,2.0,0.44472408294677734
"Why did Bhrigu curse the fire god Agni, and what was the outcome?",1.6,"['1.6', '1.7', '13.92', '13.56', '13.4']","[0.545001745223999, 0.5360080003738403, 0.5343766808509827, 0.5280342102050781, 0.519054114818573]",True,1.0,0.545001745223999
Why did Agni disappear from the world after being cursed by Bhrigu?,1.7,"['1.7', '3.217', '1.6', '1.224', '3.225']","[0.571390688419342, 0.5637607574462891, 0.5612443685531616, 0.5093757510185242, 0.503153383731842]",True,1.0,0.571390688419342
How did Lord Brahma pacify Agni and mitigate his curse?,1.7,"['13.85', '13.92', '1.224', '13.155', '13.4']","[0.5000345706939697, 0.4967220425605774, 0.4590693414211273, 0.44007548689842224, 0.4297189712524414]",False,,0.41435959935188293
"Who was Pramadvara, and how was she born?",1.8,"['1.8', '13.161', '13.17', '12.182', '13.16']","[0.49937036633491516, 0.474140465259552, 0.4715306758880615, 0.45390963554382324, 0.4491193890571594]",True,1.0,0.49937036633491516
What conversations took place between Pramadvara and Ruru before their marriage?,1.8,"['1.8', '1.9', '1.10', '1.11', '10.18']","[0.5193347334861755, 0.5178466439247131, 0.4889545738697052, 0.4553270936012268, 0.4552494287490845]",True,1.0,0.5193347334861755
"How did Pramadvara die, and what caused her death?",1.8,"['1.9', '10.18', '11.21', '13.86', '8.68']","[0.510023832321167, 0.4267531633377075, 0.41718947887420654, 0.4118025302886963, 0.40933966636657715]",False,,0.33351656794548035
How was Pramadvara revived to live half of Ruru’s lifespan?,1.9,"['1.9', '13.42', '10.18', '10.17', '13.16']","[0.5234708786010742, 0.4574185609817505, 0.4375704526901245, 0.427231103181839, 0.422554612159729]",True,1.0,0.523470938205719
What happened after Ruru and Pramadvara’s marriage?,1.9,"['1.9', '1.8', '10.18', '1.10', '13.42']","[0.5786824822425842, 0.5442872047424316, 0.5014966726303101, 0.4914661645889282, 0.4610132575035095]",True,1.0,0.578682541847229
Why did Ruru vow to kill all snakes?,1.9,"['1.10', '1.52', '1.37', '1.11', '12.116']","[0.6119018793106079, 0.5230107307434082, 0.5035403966903687, 0.501172661781311, 0.4825202524662018]",False,,0.40684860944747925
What teachings did Dundubhaka share with Ruru?,1.10,"['1.11', '1.10', '12.122', '12.323', '10.18']","[0.5112001895904541, 0.510515570640564, 0.41278356313705444, 0.4123620390892029, 0.4074200391769409]",True,2.0,0.510515570640564
What is the story of Dundubha’s past as revealed in his autobiography?,1.11,"['3.240', '1.119', '1.4', '3.251', '1.59']","[0.4155683219432831, 0.4032953679561615, 0.3911128342151642, 0.37884753942489624, 0.37866735458374023]",False,,0.3335365056991577
